iter	Passed	Remaining
0	4	4013
1	7	3586
2	10	3652
3	14	3580
4	17	3486
5	22	3723
6	27	3834
7	31	3888
8	33	3663
9	41	4151
10	43	3937
11	45	3767
12	48	3648
13	50	3582
14	55	3658
15	57	3557
16	59	3453
17	61	3360
18	63	3263
19	64	3171
20	66	3088
21	69	3085
22	71	3030
23	72	2961
24	74	2896
25	75	2833
26	77	2777
27	78	2725
28	79	2675
29	81	2630
30	84	2653
31	86	2615
32	87	2576
33	89	2539
34	90	2503
35	93	2498
36	94	2467
37	96	2439
38	100	2464
39	102	2460
40	104	2445
41	106	2427
42	108	2419
43	110	2394
44	113	2409
45	115	2396
46	117	2372
47	118	2349
48	119	2327
49	121	2313
50	123	2305
51	125	2286
52	128	2304
53	130	2286
54	131	2267
55	133	2248
56	134	2232
57	136	2215
58	137	2198
59	139	2182
60	141	2176
61	144	2184
62	145	2170
63	147	2155
64	149	2143
65	150	2129
66	151	2115
67	153	2102
68	154	2088
69	158	2108
70	160	2097
71	161	2084
72	163	2072
73	164	2060
74	166	2048
75	167	2037
76	169	2026
77	171	2024
78	173	2018
79	174	2007
80	176	1998
81	177	1988
82	178	1970
83	179	1960
84	181	1950
85	182	1941
86	184	1932
87	186	1928
88	188	1924
89	189	1916
90	190	1907
91	192	1899
92	193	1891
93	195	1882
94	197	1881
95	200	1888
96	202	1886
97	204	1882
98	206	1876
99	208	1875
100	210	1869
101	213	1883
102	215	1876
103	217	1869
104	218	1861
105	219	1854
106	221	1847
107	222	1840
108	224	1833
109	225	1826
110	229	1835
111	230	1828
112	232	1821
113	233	1815
114	235	1811
115	237	1807
116	238	1798
117	239	1792
118	243	1803
119	245	1797
120	246	1791
121	247	1783
122	249	1777
123	250	1771
124	252	1764
125	253	1759
126	254	1751
127	258	1761
128	260	1757
129	261	1751
130	263	1745
131	264	1740
132	265	1733
133	267	1728
134	268	1722
135	272	1731
136	274	1727
137	275	1722
138	277	1717
139	278	1713
140	280	1708
141	281	1699
142	282	1694
143	284	1689
144	287	1697
145	289	1695
146	291	1692
147	293	1689
148	295	1687
149	297	1684
