iter	Passed	Remaining
0	2	231
1	4	212
2	6	200
3	8	193
4	10	190
5	11	186
6	14	188
7	16	187
8	18	184
9	20	180
10	21	177
11	23	173
12	25	171
13	27	168
14	29	166
15	31	164
16	33	162
17	35	159
18	36	157
19	38	155
20	41	154
21	42	152
22	44	150
23	46	147
24	48	145
25	50	143
26	52	141
27	54	138
28	57	139
29	60	140
30	63	140
31	66	140
32	68	138
33	70	136
34	72	134
35	74	131
36	75	129
37	77	126
38	79	124
39	81	122
40	83	120
41	85	117
42	87	115
43	88	112
44	89	109
45	91	107
46	93	105
47	95	103
48	97	101
49	99	99
50	101	97
51	103	95
52	104	93
53	106	90
54	108	88
55	110	86
56	112	84
57	113	82
58	115	80
59	117	78
60	119	76
61	120	74
62	123	72
63	125	70
64	127	68
65	129	66
66	131	64
67	133	62
68	134	60
69	136	58
70	138	56
71	140	54
72	142	52
73	144	50
74	145	48
75	147	46
76	149	44
77	151	42
78	152	40
79	153	38
80	155	36
81	157	34
82	159	32
83	160	30
84	162	28
85	164	26
86	166	24
87	168	22
88	169	21
89	171	19
90	173	17
91	175	15
92	177	13
93	178	11
94	180	9
95	182	7
96	184	5
97	185	3
98	187	1
99	189	0
